username,anime_id,my_score,user_id,gender,title,type,source,score,scored_by,rank,popularity,genre,Duration,Rating,Members,Favorites,Completed,On-Hold,Dropped
werlwend,487,8,192396,Male,Girls Bravo: Second Season,TV,Manga,6.83,36963,4189,1227,"Comedy, Ecchi, Fantasy, Harem, Romance, School",24 min. per ep.,R - 17+ (violence & profanity),161010,1140,718161,712,8160
werlwend,9750,9,192396,Male,Itsuka Tenma no Kuro Usagi,TV,Light novel,6.77,41473,4451,923,"Comedy, Supernatural, Romance, Ecchi, Vampire",23 min. per ep.,PG-13 - Teens 13 or older,111164,2186,718161,6454,6700
nighthawk741,601,5,401053,Male,Nekojiru-sou,OVA,Manga,7.42,22770,1944,1667,"Comedy, Dementia, Psychological",23 min. per ep.,PG-13 - Teens 13 or older,416227,9525,718161,15535,15100
nighthawk741,10588,6,401053,Male,Persona 4 the Animation,TV,Game,7.63,76059,1278,479,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School",24 min. per ep.,PG-13 - Teens 13 or older,148259,408,150183,243,776
nighthawk741,6444,7,401053,Male,Tegamibachi,TV,Manga,7.72,31604,1072,998,"Adventure, Supernatural, Fantasy, Shounen",22 min. per ep.,PG-13 - Teens 13 or older,148259,318,150183,243,802
Fangel,63,8,32140,Male,DearS,TV,Manga,6.74,59249,4570,820,"Sci-Fi, Harem, Comedy, Romance, Ecchi",24 min. per ep.,PG-13 - Teens 13 or older,148259,268,150183,827,750
bails649,5630,0,5233631,Male,Higashi no Eden,TV,Original,7.96,173942,599,156,"Action, Sci-Fi, Mystery, Comedy, Drama, Romance, Thriller",23 min. per ep.,R - 17+ (violence & profanity),9900,10,718161,145,699
bails649,35073,0,5233631,Male,Overlord II,TV,Light novel,8.01,97521,547,314,"Action, Adventure, Fantasy, Game, Magic, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,148259,499,718161,1751,1977
bails649,24873,7,5233631,Male,Juuou Mujin no Fafnir,TV,Light novel,6.43,41266,5879,972,"Fantasy, Harem, Romance, School",24 min. per ep.,PG-13 - Teens 13 or older,60077,767,718161,145,2994
bails649,28817,0,5233631,Male,Mikagura Gakuen Kumikyoku (TV),TV,Light novel,6.8,24418,4326,1326,"Action, Comedy, School, Shoujo Ai",24 min. per ep.,G - All Ages,148259,248,718161,712,2522
hipernova,4107,0,88184,Male,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie,Original,8.22,49113,295,914,"Action, Comedy, Mecha",24 min. per ep.,PG-13 - Teens 13 or older,170539,2188,718161,71513,7994
Pewpers,3470,7,6551,Male,Special A,TV,Manga,7.72,113131,1071,339,"Comedy, Romance, School, Shoujo",24 min. per ep.,R+ - Mild Nudity,54222,178,718161,145,2381
Pewpers,7338,8,6551,Male,Darker than Black: Kuro no Keiyakusha Gaiden,Special,Original,8.05,99100,485,476,"Action, Sci-Fi, Mystery, Super Power",23 min. per ep.,R+ - Mild Nudity,123752,1072,718161,827,4458
